measurement,dbms,index_variant,kind,k,phase,run,lock_hold_ms,statement_ms,commit_ms,affected_rows,probe,wait_ms,remaining_hold_ms,outcome,outcome_detail,departed_before_commit,error
"lock_hold","PostgreSQL","indexed","UPDATE","10000","measured","9","147.060","8.982","7.233","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10000","warmup","1","32.310","27.128","5.154","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10000","warmup","2","38.694","29.107","9.559","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10000","measured","3","30.763","26.404","4.336","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10000","measured","4","33.969","27.326","6.619","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10000","measured","5","44.178","29.875","14.280","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10000","measured","6","37.911","26.879","10.973","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10000","measured","7","41.311","31.379","9.884","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10000","measured","8","33.574","26.586","6.949","10000","","","","","","",""
"lock_hold","PostgreSQL","indexed","UNCAPTURED","10000","measured","9","36.519","27.059","9.414","10000","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","10","warmup","1","6.725","2.938","0.968","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","10","warmup","2","7.026","2.888","0.852","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","10","measured","3","6.328","2.533","1.016","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","10","measured","4","6.324","2.437","0.833","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","10","measured","5","6.288","2.594","0.801","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","10","measured","6","6.694","2.797","0.978","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","10","measured","7","5.909","2.495","0.727","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","10","measured","8","6.345","2.644","0.764","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","10","measured","9","8.270","3.288","1.288","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UNCAPTURED","10","warmup","1","1.762","0.883","0.865","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UNCAPTURED","10","warmup","2","2.138","1.081","1.039","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UNCAPTURED","10","measured","3","2.120","1.152","0.950","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UNCAPTURED","10","measured","4","1.916","1.040","0.860","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UNCAPTURED","10","measured","5","1.965","0.993","0.951","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UNCAPTURED","10","measured","6","1.999","0.983","1.005","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UNCAPTURED","10","measured","7","2.100","1.144","0.938","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UNCAPTURED","10","measured","8","1.878","1.003","0.862","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UNCAPTURED","10","measured","9","1.744","0.858","0.874","10","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","100","warmup","1","8.313","3.109","1.290","100","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","100","warmup","2","7.318","2.512","1.005","100","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","100","measured","3","8.119","2.655","1.287","100","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","100","measured","4","8.028","2.736","1.212","100","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","100","measured","5","7.752","2.775","1.014","100","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","100","measured","6","8.334","2.938","1.194","100","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","100","measured","7","7.981","2.902","1.114","100","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","100","measured","8","7.949","2.952","1.009","100","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UPDATE","100","measured","9","7.543","2.575","1.187","100","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UNCAPTURED","100","warmup","1","2.537","1.287","1.184","100","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UNCAPTURED","100","warmup","2","2.744","1.478","1.222","100","","","","","","",""
"lock_hold","PostgreSQL","unindexed","UNCAPTURED","100","measured","3","2.153","0.926","1.206","100","","","","","","",""
