policy,delay_ms,interval_ms,intended_ms,snapshot_ms,blocked
PARALLEL,0,1000,14000,14052,0
PARALLEL,0,1000,15000,15051,0
PARALLEL,0,1000,16000,16070,0
PARALLEL,0,1000,17000,17033,1
PARALLEL,0,1000,18000,18056,0
PARALLEL,0,1000,19000,19027,0
PARALLEL,0,1000,20000,20063,0
PARALLEL,0,1000,21000,21050,1
PARALLEL,0,1000,22000,22098,0
PARALLEL,0,1000,23000,23032,0
PARALLEL,0,1000,24000,24061,0
PARALLEL,0,1000,25000,25032,1
PARALLEL,0,1000,26000,26102,0
PARALLEL,0,1000,27000,27042,0
PARALLEL,0,1000,28000,28046,0
PARALLEL,0,1000,29000,29027,1
PARALLEL,0,1000,30000,30070,0
PARALLEL,0,1000,31000,31039,0
PARALLEL,0,1000,32000,32057,0
PARALLEL,0,1000,33000,33048,1
PARALLEL,0,1000,34000,34040,0
PARALLEL,0,1000,35000,35072,0
PARALLEL,0,1000,36000,36071,0
PARALLEL,0,1000,37000,37035,1
PARALLEL,0,1000,38000,38058,0
PARALLEL,0,1000,39000,39026,0
DELAY,2000,1000,63,2074,0
DELAY,2000,1000,3111,5120,1
DELAY,2000,1000,6141,8148,0
DELAY,2000,1000,9166,11175,0
DELAY,2000,1000,12183,14187,0
DELAY,2000,1000,15202,17209,1
DELAY,2000,1000,18229,20232,0
DELAY,2000,1000,21249,23250,0
DELAY,2000,1000,24265,26290,0
DELAY,2000,1000,27311,29317,1
DELAY,2000,1000,30331,32334,0
DELAY,2000,1000,33345,35360,0
DELAY,2000,1000,36380,38382,0
DELAY,2000,1000,39402,41403,0
QUEUE,2000,1000,0,2078,0
QUEUE,2000,1000,1000,4112,0
QUEUE,2000,1000,2000,6123,0
QUEUE,2000,1000,3000,8141,0
QUEUE,2000,1000,4000,10156,0
QUEUE,2000,1000,5000,12166,0
QUEUE,2000,1000,6000,14182,0
QUEUE,2000,1000,7000,16214,0
QUEUE,2000,1000,8000,18272,0
QUEUE,2000,1000,9000,20292,0
QUEUE,2000,1000,10000,22315,0
QUEUE,2000,1000,11000,24334,0
QUEUE,2000,1000,12000,26347,0
QUEUE,2000,1000,13000,28368,0
QUEUE,2000,1000,14000,30379,0
QUEUE,2000,1000,15000,32403,0
QUEUE,2000,1000,16000,34417,0
QUEUE,2000,1000,17000,36433,0
QUEUE,2000,1000,18000,38442,0
QUEUE,2000,1000,19000,40556,0
QUEUE,2000,1000,20000,42571,0
QUEUE,2000,1000,21000,44598,0
QUEUE,2000,1000,22000,46628,0
QUEUE,2000,1000,23000,48668,0
QUEUE,2000,1000,24000,50714,0
QUEUE,2000,1000,25000,52732,0
QUEUE,2000,1000,26000,54764,0
QUEUE,2000,1000,27000,56792,0
QUEUE,2000,1000,28000,58827,0
QUEUE,2000,1000,29000,60887,0
QUEUE,2000,1000,30000,62905,0
QUEUE,2000,1000,31000,64939,0
QUEUE,2000,1000,32000,66966,0
QUEUE,2000,1000,33000,69015,0
QUEUE,2000,1000,34000,71047,0
QUEUE,2000,1000,35000,73100,0
QUEUE,2000,1000,36000,75117,0
QUEUE,2000,1000,37000,77152,0
QUEUE,2000,1000,38000,79183,0
QUEUE,2000,1000,39000,81200,0
PARALLEL,2000,1000,0,2055,0
PARALLEL,2000,1000,1000,3020,0
PARALLEL,2000,1000,2000,4013,0
PARALLEL,2000,1000,3000,5043,1
PARALLEL,2000,1000,4000,6038,0
PARALLEL,2000,1000,5000,7025,0
PARALLEL,2000,1000,6000,8020,0
PARALLEL,2000,1000,7000,9018,1
PARALLEL,2000,1000,8000,10020,0
PARALLEL,2000,1000,9000,11029,0
PARALLEL,2000,1000,10000,12029,0
PARALLEL,2000,1000,11000,13015,1
PARALLEL,2000,1000,12000,14017,0
PARALLEL,2000,1000,13000,15025,0
PARALLEL,2000,1000,14000,16038,0
PARALLEL,2000,1000,15000,17019,1
PARALLEL,2000,1000,16000,18052,0
PARALLEL,2000,1000,17000,19287,0
PARALLEL,2000,1000,18000,21687,1
PARALLEL,2000,1000,19000,21966,1
PARALLEL,2000,1000,20000,22296,0
PARALLEL,2000,1000,21000,23025,0
PARALLEL,2000,1000,22000,24017,0
PARALLEL,2000,1000,23000,25023,1
PARALLEL,2000,1000,24000,26024,0
PARALLEL,2000,1000,25000,27025,0
PARALLEL,2000,1000,26000,28011,0
PARALLEL,2000,1000,27000,29036,1
PARALLEL,2000,1000,28000,30022,0
PARALLEL,2000,1000,29000,31017,0
PARALLEL,2000,1000,30000,32029,0
PARALLEL,2000,1000,31000,33033,1
PARALLEL,2000,1000,32000,34013,1
PARALLEL,2000,1000,33000,35052,0
PARALLEL,2000,1000,34000,36034,0
PARALLEL,2000,1000,35000,37021,1
PARALLEL,2000,1000,36000,38071,0
PARALLEL,2000,1000,37000,39057,0
PARALLEL,2000,1000,38000,40056,0
PARALLEL,2000,1000,39000,41061,0
DELAY,0,1000,81,81,0
DELAY,0,1000,1098,1098,1
DELAY,0,1000,2103,2104,0
DELAY,0,1000,3120,3120,0
DELAY,0,1000,4149,4149,0
DELAY,0,1000,5166,5166,1
DELAY,0,1000,6171,6172,0
DELAY,0,1000,7190,7190,0
DELAY,0,1000,8202,8202,0
DELAY,0,1000,9224,9224,1
DELAY,0,1000,10240,10240,0
DELAY,0,1000,11246,11246,0
DELAY,0,1000,12252,12252,0
DELAY,0,1000,13259,13260,1
DELAY,0,1000,14270,14270,0
DELAY,0,1000,15290,15290,0
DELAY,0,1000,16305,16305,0
DELAY,0,1000,17328,17328,1
DELAY,0,1000,18341,18341,0
DELAY,0,1000,19358,19358,0
DELAY,0,1000,20371,20371,0
DELAY,0,1000,21386,21386,1
DELAY,0,1000,22394,22394,0
DELAY,0,1000,23411,23411,0
DELAY,0,1000,24426,24426,0
DELAY,0,1000,25432,25432,1
DELAY,0,1000,26441,26441,0
DELAY,0,1000,27448,27448,0
DELAY,0,1000,28454,28454,0
DELAY,0,1000,29457,29457,1
DELAY,0,1000,30461,30461,0
DELAY,0,1000,31467,31467,0
DELAY,0,1000,32477,32478,0
DELAY,0,1000,33479,33479,1
DELAY,0,1000,34488,34488,0
DELAY,0,1000,35491,35491,0
DELAY,0,1000,36494,36494,0
DELAY,0,1000,37505,37505,1
DELAY,0,1000,38514,38514,0
DELAY,0,1000,39524,39524,0
QUEUE,0,1000,0,54,0
QUEUE,0,1000,1000,1001,1
QUEUE,0,1000,2000,2002,1
QUEUE,0,1000,3000,3005,0
QUEUE,0,1000,4000,4004,0
QUEUE,0,1000,5000,5000,1
QUEUE,0,1000,6000,6003,1
QUEUE,0,1000,7000,7004,0
QUEUE,0,1000,8000,8008,0
QUEUE,0,1000,9000,9000,1
QUEUE,0,1000,10000,10001,1
QUEUE,0,1000,11000,11000,0
QUEUE,0,1000,12000,12001,0
QUEUE,0,1000,13000,13005,1
QUEUE,0,1000,14000,14002,1
QUEUE,0,1000,15000,15001,0
QUEUE,0,1000,16000,16006,0
QUEUE,0,1000,17000,17005,1
QUEUE,0,1000,18000,18006,1
QUEUE,0,1000,19000,19000,0
QUEUE,0,1000,20000,20003,0
QUEUE,0,1000,21000,21010,1
QUEUE,0,1000,22000,22006,1
QUEUE,0,1000,23000,23003,0
QUEUE,0,1000,24000,24001,0
QUEUE,0,1000,25000,25001,1
QUEUE,0,1000,26000,26008,1
QUEUE,0,1000,27000,27000,0
QUEUE,0,1000,28000,28010,0
QUEUE,0,1000,29000,29004,1
QUEUE,0,1000,30000,30002,1
QUEUE,0,1000,31000,31001,0
QUEUE,0,1000,32000,32002,0
QUEUE,0,1000,33000,33004,1
QUEUE,0,1000,34000,34004,1
